driver,team,lap_number,lap_time,sector1_time,sector2_time,sector3_time,stint,compound,tyre_life,track_status,event_name,session_name,year,lap_time_seconds,sector1_time_seconds,sector2_time_seconds,sector3_time_seconds,driver_median_lap_time_seconds,lap_delta_to_driver_median,is_first_lap_of_stint
ALB,Williams,1.0,0 days 00:01:55.627000,0 days 00:00:54.162000,0 days 00:00:21.235000,0 days 00:00:40.230000,1.0,HARD,1.0,1,Australian Grand Prix,FP2,2026,115.627,54.162,21.235,40.23,97.29249999999999,18.334500000000006,True
ALB,Williams,2.0,0 days 00:01:25.119000,0 days 00:00:30.113000,0 days 00:00:18.176000,0 days 00:00:36.830000,1.0,HARD,2.0,12,Australian Grand Prix,FP2,2026,85.119,30.113,18.176,36.83,97.29249999999999,-12.17349999999999,False
ALB,Williams,3.0,0 days 00:01:24.454000,0 days 00:00:29.726000,0 days 00:00:18.179000,0 days 00:00:36.549000,1.0,HARD,3.0,1,Australian Grand Prix,FP2,2026,84.454,29.726,18.179,36.549,97.29249999999999,-12.838499999999996,False
ALB,Williams,4.0,0 days 00:01:58.481000,0 days 00:00:43.462000,0 days 00:00:22.186000,0 days 00:00:52.833000,1.0,HARD,4.0,1,Australian Grand Prix,FP2,2026,118.481,43.462,22.186,52.833,97.29249999999999,21.188500000000005,False
ALB,Williams,5.0,0 days 00:01:23.557000,0 days 00:00:29.352000,0 days 00:00:17.927000,0 days 00:00:36.278000,1.0,HARD,5.0,1,Australian Grand Prix,FP2,2026,83.557,29.352,17.927,36.278,97.29249999999999,-13.735499999999988,False
ALB,Williams,6.0,0 days 00:01:54.408000,0 days 00:00:44.837000,0 days 00:00:24.952000,0 days 00:00:44.619000,1.0,HARD,6.0,1,Australian Grand Prix,FP2,2026,114.408,44.837,24.951999999999998,44.619,97.29249999999999,17.11550000000001,False
ALB,Williams,7.0,0 days 00:01:39.999000,0 days 00:00:32.966000,0 days 00:00:21.122000,0 days 00:00:45.911000,1.0,HARD,7.0,1,Australian Grand Prix,FP2,2026,99.999,32.966,21.122,45.911,97.29249999999999,2.7065000000000055,False
ALB,Williams,8.0,0 days 00:01:22.860000,0 days 00:00:28.927000,0 days 00:00:17.976000,0 days 00:00:35.957000,1.0,HARD,8.0,1,Australian Grand Prix,FP2,2026,82.86,28.927,17.976,35.957,97.29249999999999,-14.43249999999999,False
ALB,Williams,9.0,0 days 00:02:05.605000,0 days 00:00:44.292000,0 days 00:00:28.461000,0 days 00:00:52.852000,1.0,HARD,9.0,1,Australian Grand Prix,FP2,2026,125.605,44.292,28.461,52.852,97.29249999999999,28.312500000000014,False
ALB,Williams,10.0,0 days 00:01:23.155000,0 days 00:00:28.953000,0 days 00:00:18.082000,0 days 00:00:36.120000,1.0,HARD,10.0,1,Australian Grand Prix,FP2,2026,83.155,28.953,18.082,36.12,97.29249999999999,-14.137499999999989,False
ALB,Williams,11.0,,0 days 00:00:40.579000,0 days 00:00:25.109000,,1.0,HARD,11.0,1,Australian Grand Prix,FP2,2026,,40.579,25.109,,97.29249999999999,,False
