Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,TrackStatus,EventName,SessionName,Year
NOR,McLaren,29.0,0 days 00:01:24.080000,0 days 00:00:29.692000,0 days 00:00:17.992000,0 days 00:00:36.396000,2.0,HARD,18.0,1,Australian Grand Prix,R,2026
NOR,McLaren,30.0,0 days 00:01:23.961000,0 days 00:00:29.515000,0 days 00:00:17.966000,0 days 00:00:36.480000,2.0,HARD,19.0,1,Australian Grand Prix,R,2026
NOR,McLaren,31.0,0 days 00:01:24.094000,0 days 00:00:29.604000,0 days 00:00:17.958000,0 days 00:00:36.532000,2.0,HARD,20.0,1,Australian Grand Prix,R,2026
NOR,McLaren,32.0,0 days 00:01:24.075000,0 days 00:00:29.481000,0 days 00:00:17.980000,0 days 00:00:36.614000,2.0,HARD,21.0,1,Australian Grand Prix,R,2026
NOR,McLaren,33.0,0 days 00:01:24.790000,0 days 00:00:30.039000,0 days 00:00:18.027000,0 days 00:00:36.724000,2.0,HARD,22.0,1,Australian Grand Prix,R,2026
NOR,McLaren,34.0,0 days 00:01:52.732000,0 days 00:00:39.736000,0 days 00:00:22.345000,0 days 00:00:50.651000,2.0,HARD,23.0,167,Australian Grand Prix,R,2026
NOR,McLaren,35.0,0 days 00:01:29.434000,0 days 00:00:34.977000,0 days 00:00:17.783000,0 days 00:00:36.674000,3.0,MEDIUM,1.0,1,Australian Grand Prix,R,2026
NOR,McLaren,36.0,0 days 00:01:23.324000,0 days 00:00:29.282000,0 days 00:00:17.819000,0 days 00:00:36.223000,3.0,MEDIUM,2.0,1,Australian Grand Prix,R,2026
NOR,McLaren,37.0,0 days 00:01:23.448000,0 days 00:00:29.399000,0 days 00:00:17.652000,0 days 00:00:36.397000,3.0,MEDIUM,3.0,1,Australian Grand Prix,R,2026
NOR,McLaren,38.0,0 days 00:01:23.423000,0 days 00:00:29.202000,0 days 00:00:17.867000,0 days 00:00:36.354000,3.0,MEDIUM,4.0,1,Australian Grand Prix,R,2026
NOR,McLaren,39.0,0 days 00:01:24.001000,0 days 00:00:29.482000,0 days 00:00:18.144000,0 days 00:00:36.375000,3.0,MEDIUM,5.0,1,Australian Grand Prix,R,2026
NOR,McLaren,40.0,0 days 00:01:23.397000,0 days 00:00:29.188000,0 days 00:00:17.861000,0 days 00:00:36.348000,3.0,MEDIUM,6.0,1,Australian Grand Prix,R,2026
NOR,McLaren,41.0,0 days 00:01:23.762000,0 days 00:00:29.481000,0 days 00:00:18,0 days 00:00:36.281000,3.0,MEDIUM,7.0,1,Australian Grand Prix,R,2026
NOR,McLaren,42.0,0 days 00:01:23.347000,0 days 00:00:29.334000,0 days 00:00:17.955000,0 days 00:00:36.058000,3.0,MEDIUM,8.0,1,Australian Grand Prix,R,2026
NOR,McLaren,43.0,0 days 00:01:23.286000,0 days 00:00:29.377000,0 days 00:00:17.865000,0 days 00:00:36.044000,3.0,MEDIUM,9.0,1,Australian Grand Prix,R,2026
NOR,McLaren,44.0,0 days 00:01:23.192000,0 days 00:00:29.308000,0 days 00:00:17.809000,0 days 00:00:36.075000,3.0,MEDIUM,10.0,1,Australian Grand Prix,R,2026
NOR,McLaren,45.0,0 days 00:01:22.886000,0 days 00:00:29.236000,0 days 00:00:17.800000,0 days 00:00:35.850000,3.0,MEDIUM,11.0,1,Australian Grand Prix,R,2026
NOR,McLaren,46.0,0 days 00:01:22.908000,0 days 00:00:29.050000,0 days 00:00:17.644000,0 days 00:00:36.214000,3.0,MEDIUM,12.0,1,Australian Grand Prix,R,2026
NOR,McLaren,47.0,0 days 00:01:22.778000,0 days 00:00:29.083000,0 days 00:00:17.798000,0 days 00:00:35.897000,3.0,MEDIUM,13.0,1,Australian Grand Prix,R,2026
