Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,TrackStatus,EventName,SessionName,Year
HAD,Red Bull Racing,16.0,,0 days 00:00:31.985000,0 days 00:00:20.227000,,6.0,SOFT,3.0,1,Australian Grand Prix,Q,2026
HAD,Red Bull Racing,17.0,0 days 00:01:48.880000,0 days 00:00:47.558000,0 days 00:00:22.152000,0 days 00:00:39.170000,7.0,SOFT,1.0,1,Australian Grand Prix,Q,2026
HAD,Red Bull Racing,18.0,0 days 00:01:19.303000,0 days 00:00:27.747000,0 days 00:00:17.520000,0 days 00:00:34.036000,7.0,SOFT,2.0,1,Australian Grand Prix,Q,2026
HAD,Red Bull Racing,19.0,,0 days 00:00:38.304000,0 days 00:00:22.914000,,7.0,SOFT,3.0,1,Australian Grand Prix,Q,2026
VER,Red Bull Racing,1.0,0 days 00:01:42.025000,0 days 00:00:41.429000,0 days 00:00:19.065000,0 days 00:00:41.531000,1.0,SOFT,1.0,1,Australian Grand Prix,Q,2026
VER,Red Bull Racing,2.0,,0 days 00:00:41.429000,,,1.0,SOFT,2.0,125,Australian Grand Prix,Q,2026
ANT,Mercedes,1.0,0 days 00:01:59.979000,0 days 00:00:57.486000,0 days 00:00:20.671000,0 days 00:00:41.822000,1.0,SOFT,1.0,1,Australian Grand Prix,Q,2026
ANT,Mercedes,2.0,0 days 00:01:20.120000,0 days 00:00:28.214000,0 days 00:00:17.610000,0 days 00:00:34.296000,1.0,SOFT,2.0,1,Australian Grand Prix,Q,2026
ANT,Mercedes,3.0,0 days 00:01:48.494000,0 days 00:00:35.026000,0 days 00:00:24.129000,0 days 00:00:49.339000,1.0,SOFT,3.0,1,Australian Grand Prix,Q,2026
ANT,Mercedes,4.0,0 days 00:01:20.289000,0 days 00:00:28.414000,0 days 00:00:17.745000,0 days 00:00:34.130000,1.0,SOFT,4.0,1,Australian Grand Prix,Q,2026
ANT,Mercedes,5.0,,0 days 00:00:33.419000,0 days 00:00:21.126000,,1.0,SOFT,5.0,12,Australian Grand Prix,Q,2026
ANT,Mercedes,6.0,0 days 00:02:02.055000,0 days 00:00:59.750000,0 days 00:00:19.667000,0 days 00:00:42.638000,2.0,SOFT,1.0,1,Australian Grand Prix,Q,2026
ANT,Mercedes,7.0,0 days 00:01:19.604000,0 days 00:00:27.908000,0 days 00:00:17.495000,0 days 00:00:34.201000,2.0,SOFT,2.0,1,Australian Grand Prix,Q,2026
ANT,Mercedes,8.0,,0 days 00:00:36.062000,0 days 00:00:23.975000,,2.0,SOFT,3.0,1,Australian Grand Prix,Q,2026
