Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,TrackStatus,EventName,SessionName,Year
NOR,McLaren,1.0,,,0 days 00:00:23.812000,0 days 00:01:02.768000,1.0,MEDIUM,1.0,126,Australian Grand Prix,FP1,2026
NOR,McLaren,2.0,,0 days 00:00:40.404000,0 days 00:00:20.046000,,1.0,MEDIUM,2.0,671,Australian Grand Prix,FP1,2026
NOR,McLaren,3.0,,0 days 00:00:43.538000,0 days 00:00:22.121000,,2.0,MEDIUM,3.0,1,Australian Grand Prix,FP1,2026
NOR,McLaren,4.0,0 days 00:01:41.411000,0 days 00:00:40.252000,0 days 00:00:20.724000,0 days 00:00:40.435000,3.0,MEDIUM,4.0,1,Australian Grand Prix,FP1,2026
NOR,McLaren,5.0,0 days 00:01:24.906000,0 days 00:00:29.609000,0 days 00:00:18.321000,0 days 00:00:36.976000,3.0,MEDIUM,5.0,1,Australian Grand Prix,FP1,2026
NOR,McLaren,6.0,0 days 00:01:24.391000,0 days 00:00:29.862000,0 days 00:00:18.361000,0 days 00:00:36.168000,3.0,MEDIUM,6.0,1,Australian Grand Prix,FP1,2026
NOR,McLaren,7.0,,0 days 00:00:29.637000,0 days 00:00:25.959000,,3.0,MEDIUM,7.0,1,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,1.0,0 days 00:02:04.309000,0 days 00:00:58.007000,0 days 00:00:22.645000,0 days 00:00:43.657000,1.0,MEDIUM,1.0,12,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,2.0,0 days 00:01:44.573000,0 days 00:00:31.865000,0 days 00:00:18.298000,0 days 00:00:54.410000,1.0,MEDIUM,2.0,26,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,3.0,0 days 00:01:55.581000,0 days 00:00:46.488000,0 days 00:00:23.017000,0 days 00:00:46.076000,1.0,MEDIUM,3.0,671,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,4.0,0 days 00:01:22.920000,0 days 00:00:29.225000,0 days 00:00:17.878000,0 days 00:00:35.817000,1.0,MEDIUM,4.0,1,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,5.0,,0 days 00:01:08.827000,0 days 00:00:23.938000,0 days 00:00:58.213000,1.0,MEDIUM,5.0,1,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,6.0,0 days 00:01:22.305000,0 days 00:00:29.148000,0 days 00:00:17.841000,0 days 00:00:35.316000,1.0,MEDIUM,6.0,1,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,7.0,0 days 00:02:09.341000,0 days 00:00:41.316000,0 days 00:00:27.488000,0 days 00:01:00.537000,1.0,MEDIUM,7.0,1,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,8.0,0 days 00:01:37.970000,0 days 00:00:33.394000,0 days 00:00:23.270000,0 days 00:00:41.306000,1.0,MEDIUM,8.0,1,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,9.0,0 days 00:01:22.307000,0 days 00:00:28.936000,0 days 00:00:17.887000,0 days 00:00:35.484000,1.0,MEDIUM,9.0,1,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,10.0,,0 days 00:01:22.771000,0 days 00:00:27.150000,0 days 00:01:10.169000,1.0,MEDIUM,10.0,1,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,11.0,0 days 00:01:45.580000,0 days 00:00:39.142000,0 days 00:00:20.656000,0 days 00:00:45.782000,2.0,MEDIUM,11.0,1,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,12.0,0 days 00:01:21.403000,0 days 00:00:28.648000,0 days 00:00:17.806000,0 days 00:00:34.949000,2.0,MEDIUM,12.0,1,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,13.0,,0 days 00:00:34.656000,0 days 00:00:21.523000,,2.0,MEDIUM,13.0,1,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,14.0,0 days 00:01:43.147000,0 days 00:00:39.606000,0 days 00:00:22.331000,0 days 00:00:41.210000,3.0,SOFT,1.0,1,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,15.0,0 days 00:01:20.908000,0 days 00:00:28.394000,0 days 00:00:17.739000,0 days 00:00:34.775000,3.0,SOFT,2.0,1,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,16.0,0 days 00:02:13.564000,0 days 00:00:42.072000,0 days 00:00:26.164000,0 days 00:01:05.328000,3.0,SOFT,3.0,1,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,17.0,0 days 00:01:51.234000,0 days 00:00:41.522000,0 days 00:00:21.415000,0 days 00:00:48.297000,4.0,SOFT,4.0,1,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,18.0,0 days 00:01:20.789000,0 days 00:00:28.362000,0 days 00:00:17.673000,0 days 00:00:34.754000,4.0,SOFT,5.0,1,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,19.0,,0 days 00:00:35.845000,0 days 00:00:21.604000,,4.0,SOFT,6.0,126,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,20.0,0 days 00:01:42.630000,0 days 00:00:40.394000,0 days 00:00:18.757000,0 days 00:00:43.479000,5.0,MEDIUM,14.0,671,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,21.0,0 days 00:01:25.753000,0 days 00:00:30.613000,0 days 00:00:18.583000,0 days 00:00:36.557000,5.0,MEDIUM,15.0,1,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,22.0,0 days 00:01:24.846000,0 days 00:00:29.728000,0 days 00:00:18.556000,0 days 00:00:36.562000,5.0,MEDIUM,16.0,1,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,23.0,0 days 00:01:24.843000,0 days 00:00:29.671000,0 days 00:00:18.528000,0 days 00:00:36.644000,5.0,MEDIUM,17.0,1,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,24.0,0 days 00:01:24.894000,0 days 00:00:29.991000,0 days 00:00:18.272000,0 days 00:00:36.631000,5.0,MEDIUM,18.0,1,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,25.0,0 days 00:01:24.621000,0 days 00:00:29.757000,0 days 00:00:18.362000,0 days 00:00:36.502000,5.0,MEDIUM,19.0,1,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,26.0,,0 days 00:00:39.060000,0 days 00:00:25.294000,,5.0,MEDIUM,20.0,1,Australian Grand Prix,FP1,2026
VER,Red Bull Racing,27.0,,0 days 00:00:35.853000,0 days 00:00:19.851000,,5.0,MEDIUM,21.0,1,Australian Grand Prix,FP1,2026
BOR,Audi,1.0,,0 days 00:01:02.348000,0 days 00:00:23.116000,,1.0,MEDIUM,1.0,1267,Australian Grand Prix,FP1,2026
BOR,Audi,2.0,0 days 00:02:05.572000,0 days 00:00:56.725000,0 days 00:00:21.014000,0 days 00:00:47.833000,2.0,MEDIUM,2.0,1,Australian Grand Prix,FP1,2026
BOR,Audi,3.0,0 days 00:01:36.091000,0 days 00:00:32.727000,0 days 00:00:20.390000,0 days 00:00:42.974000,2.0,MEDIUM,3.0,1,Australian Grand Prix,FP1,2026
