Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,TrackStatus,EventName,SessionName,Year
NOR,McLaren,1.0,,,0 days 00:00:23.001000,0 days 00:00:44.046000,1.0,HARD,1.0,1,Australian Grand Prix,FP2,2026
NOR,McLaren,2.0,0 days 00:01:25.952000,0 days 00:00:29.509000,0 days 00:00:18.380000,0 days 00:00:38.063000,1.0,HARD,2.0,12,Australian Grand Prix,FP2,2026
NOR,McLaren,3.0,0 days 00:01:38.255000,0 days 00:00:32.037000,0 days 00:00:19.145000,0 days 00:00:47.073000,1.0,HARD,3.0,1,Australian Grand Prix,FP2,2026
NOR,McLaren,4.0,,0 days 00:00:52.162000,0 days 00:00:32.327000,,1.0,HARD,4.0,1,Australian Grand Prix,FP2,2026
NOR,McLaren,5.0,0 days 00:01:36.899000,0 days 00:00:36.873000,0 days 00:00:18.865000,0 days 00:00:41.161000,2.0,HARD,5.0,1,Australian Grand Prix,FP2,2026
NOR,McLaren,6.0,0 days 00:01:22.712000,0 days 00:00:28.873000,0 days 00:00:17.857000,0 days 00:00:35.982000,2.0,HARD,6.0,1,Australian Grand Prix,FP2,2026
NOR,McLaren,7.0,0 days 00:01:23.473000,0 days 00:00:29.399000,0 days 00:00:18.015000,0 days 00:00:36.059000,2.0,HARD,7.0,1,Australian Grand Prix,FP2,2026
NOR,McLaren,8.0,0 days 00:01:22.690000,0 days 00:00:28.904000,0 days 00:00:18.126000,0 days 00:00:35.660000,2.0,HARD,8.0,1,Australian Grand Prix,FP2,2026
NOR,McLaren,9.0,0 days 00:01:23.030000,0 days 00:00:29.129000,0 days 00:00:18.090000,0 days 00:00:35.811000,2.0,HARD,9.0,1,Australian Grand Prix,FP2,2026
NOR,McLaren,10.0,0 days 00:01:56.751000,0 days 00:00:37.471000,0 days 00:00:21.200000,0 days 00:00:58.080000,2.0,HARD,10.0,1,Australian Grand Prix,FP2,2026
NOR,McLaren,11.0,0 days 00:01:44.336000,0 days 00:00:40.070000,0 days 00:00:19.677000,0 days 00:00:44.589000,3.0,HARD,11.0,1,Australian Grand Prix,FP2,2026
NOR,McLaren,12.0,0 days 00:01:21.940000,0 days 00:00:28.775000,0 days 00:00:17.974000,0 days 00:00:35.191000,3.0,HARD,12.0,1,Australian Grand Prix,FP2,2026
NOR,McLaren,13.0,,0 days 00:00:32.937000,0 days 00:00:20.772000,,3.0,HARD,13.0,1,Australian Grand Prix,FP2,2026
NOR,McLaren,14.0,0 days 00:01:46.937000,0 days 00:00:42.277000,0 days 00:00:19.735000,0 days 00:00:44.925000,4.0,SOFT,1.0,1,Australian Grand Prix,FP2,2026
NOR,McLaren,15.0,0 days 00:01:20.794000,0 days 00:00:28.196000,0 days 00:00:17.913000,0 days 00:00:34.685000,4.0,SOFT,2.0,1,Australian Grand Prix,FP2,2026
NOR,McLaren,16.0,0 days 00:01:56.348000,0 days 00:00:37.959000,0 days 00:00:28.972000,0 days 00:00:49.417000,4.0,SOFT,3.0,1,Australian Grand Prix,FP2,2026
NOR,McLaren,17.0,0 days 00:01:50.040000,0 days 00:00:39.624000,0 days 00:00:27.379000,0 days 00:00:43.037000,4.0,SOFT,4.0,1,Australian Grand Prix,FP2,2026
NOR,McLaren,18.0,0 days 00:01:20.950000,0 days 00:00:28.187000,0 days 00:00:17.905000,0 days 00:00:34.858000,4.0,SOFT,5.0,1,Australian Grand Prix,FP2,2026
